Player,C,GP,SFrac,G,A,P,+/-,ESG,ESA,ESP,PPG,PPA,PPP,SHG,SHA,SHP,TGF,PGF,TGA,PGA,SHGF,SHGA,ESGF,ESGA,$ESG,$ESA,$ESP,$ESP/S,$ESGF,$ESGA,R-ON,R-OFF,XEV+/-,EV+/-,AEV+/-,EV%,TmEV+,EVCalc,TmEVR,$PPG,$PPA,$PPP,$PPP/S,PP%,TmPP+,PPCalc,TmPPR,$SHG,$SHA,$SHP,$SHP/S,SH%,TmSH+,SHCalc,TmSHR,Column1
"KASATONOV, ALEXEI",D,383,5.1,38,122,160,52,29,77,106,6,41,47,3,4,7,454,92,452,142,20,16,342,294,28,77,105,21,346,303,1.14,1.06,13,43,30,35%,1.08,1.8,0,5,42,47,9,32%,0.95,1.6,-0.1,4,4,8,2,41%,0.96,2.1,-0.1,302.84
"MUELLER, PETER",C,297,4.0,63,97,160,-35,45,63,108,18,33,51,0,1,1,243,102,180,2,1,13,140,165,55,76,131,33,172,208,0.83,0.85,-21,-36,-15,27%,0.85,1.1,0,21,38,59,15,53%,0.98,2.1,0.0,0,0,0,0,1%,1.26,0.0,0.0,207.61
"KERR, REG",L,263,3.3,66,94,160,-18,54,87,141,9,7,16,3,0,3,220,31,243,36,5,4,184,203,44,71,115,35,150,165,0.91,0.99,-1,-15,-14,27%,0.98,0.9,0,8,7,15,5,16%,0.92,0.5,0.0,4,4,9,3,15%,0.99,0.5,0.0,164.56
"BERUBE, CRAIG",L,1054,13.3,61,98,159,-81,58,96,154,3,2,5,0,0,0,259,12,330,2,0,1,247,327,61,100,161,12,252,337,0.75,1.03,6,-85,-91,13%,1.00,1.7,0,3,2,4,0,1%,0.97,0.2,0.0,0,0,0,0,0%,0.93,0.0,0.0,337.37
"BEUKEBOOM, JEFF",D,804,10.2,30,129,159,114,27,108,135,3,10,13,0,11,11,751,38,879,279,51,4,662,596,27,106,132,13,661,604,1.09,1.11,44,57,12,34%,1.11,3.5,0,2,7,10,1,5%,1.11,0.5,0.0,0,0,0,0,40%,0.92,4.0,-0.3,604.03
"THERIEN, CHRIS",D,764,9.7,29,130,159,130,19,114,133,8,10,18,2,6,8,611,44,613,176,29,6,538,431,23,135,158,16,640,514,1.24,1.26,87,126,39,34%,1.26,3.3,1,8,11,19,2,7%,1.08,0.7,0.1,3,3,6,1,35%,0.92,3.4,-0.3,513.96
"METROPOLIT, GLEN",C,407,5.0,57,102,159,8,39,76,115,18,24,42,0,2,2,225,60,211,57,7,8,158,146,44,87,131,26,180,167,1.08,1.03,4,13,10,20%,1.03,1.0,0,20,28,48,10,21%,1.06,1.1,0.1,0,0,0,0,17%,1.07,0.8,0.1,166.56
"SHAW, BRAD",D,377,4.6,22,137,159,-93,11,49,60,11,83,94,0,5,5,438,174,508,151,13,27,251,330,10,45,55,12,233,304,0.77,0.64,-77,-71,5,33%,0.68,1.5,-1,8,61,69,15,53%,0.85,2.5,-0.4,0,0,0,0,35%,1.22,1.6,0.3,303.80
"REEDS, MARK",R,365,4.6,45,114,159,-7,39,107,146,4,5,9,2,2,4,231,15,337,114,12,3,204,220,31,86,118,26,165,181,0.91,1.00,-1,-16,-16,22%,0.98,1.0,0,3,4,7,2,4%,1.00,0.2,0.0,2,2,3,1,35%,1.04,1.6,0.1,181.12
"KANE, EVANDER",L,261,3.6,80,79,159,-2,67,70,137,12,9,21,1,0,1,243,48,219,22,2,8,193,189,84,87,171,47,239,236,1.01,0.88,-19,3,22,34%,0.92,1.2,0,17,13,31,9,35%,0.87,1.3,-0.2,2,2,3,1,12%,1.15,0.4,0.1,235.67
"ROCHEFORT, NORMAND",D,598,7.5,39,119,158,82,34,98,132,4,15,19,1,6,7,722,69,787,216,29,10,624,561,28,79,108,14,509,461,1.10,1.05,15,48,32,36%,1.06,2.7,0,3,11,14,2,12%,1.00,0.9,0.0,1,1,2,0,40%,0.97,3.0,-0.1,461.33
"LECLERC, MIKE",L,341,4.2,64,94,158,-43,48,66,114,16,27,43,0,1,1,213,70,214,28,3,11,140,175,56,77,132,32,162,203,0.80,0.92,-10,-40,-30,27%,0.89,1.1,0,15,27,41,10,29%,0.86,1.2,-0.2,0,0,0,0,11%,1.04,0.5,0.0,202.69
"KOSTOPOULOS, TOM",R,630,7.8,61,96,157,-48,48,87,135,5,5,10,8,4,12,247,20,391,116,17,4,210,271,56,99,155,20,241,312,0.77,0.89,-20,-71,-51,19%,0.87,1.5,0,5,5,11,1,4%,1.02,0.3,0.0,11,11,22,3,23%,1.06,1.8,0.1,311.90
"JOHNSON, JACK",D,408,5.4,39,118,157,-90,22,62,84,17,55,72,0,1,1,384,116,435,81,11,11,257,343,26,75,101,19,305,405,0.75,1.12,26,-100,-125,39%,0.97,2.1,0,22,67,88,16,47%,0.95,2.5,-0.1,0,0,0,0,32%,1.01,1.7,0.0,405.00
"MURDOCH, BOB L",R,260,3.3,72,85,157,-42,51,64,115,21,21,42,0,0,0,235,68,210,1,0,12,167,197,45,56,101,31,147,174,0.85,0.73,-32,-27,5,27%,0.76,0.9,0,19,19,38,12,38%,0.79,1.2,-0.3,0,0,0,0,1%,0.91,0.0,0.0,173.94
"ALLISON, RAY",R,238,3.0,64,93,157,51,55,76,131,9,17,26,0,0,0,248,50,156,9,2,5,196,142,44,60,103,35,154,113,1.36,1.19,15,41,26,25%,1.24,0.7,0,8,15,23,8,24%,1.07,0.7,0.1,0,0,0,0,5%,0.73,0.1,0.0,113.19
"LADOUCEUR, RANDY",D,930,11.9,30,126,156,-108,28,102,130,2,18,20,0,6,6,790,51,1227,380,41,9,698,838,26,89,115,10,635,750,0.85,0.90,-45,-116,-71,33%,0.89,4.0,0,2,15,17,1,6%,0.88,0.7,-0.1,0,0,0,0,40%,1.10,4.8,0.5,750.43
"EBERLE, JORDAN",R,195,2.8,68,88,156,-12,49,65,114,17,23,40,2,0,2,208,68,168,16,2,6,138,146,63,82,145,52,177,188,0.94,0.75,-33,-11,22,37%,0.82,1.0,0,23,33,56,20,55%,1.10,1.5,0.2,3,3,5,2,8%,1.31,0.2,0.1,188.19
"KLESLA, ROSTISLAV",D,634,8.1,47,108,155,-44,39,76,115,8,29,37,0,3,3,487,85,626,182,19,13,383,431,46,91,138,17,455,514,0.89,0.80,-69,-59,10,34%,0.83,2.8,0,7,26,32,4,18%,0.85,1.5,-0.2,0,0,0,0,37%,1.03,3.0,0.1,513.67
"LEMIEUX, REAL",L,455,5.9,51,104,155,-73,39,85,124,10,16,26,2,3,5,267,50,417,127,13,9,204,281,40,88,129,22,211,289,0.73,0.85,-27,-78,-51,22%,0.82,1.3,0,14,22,36,6,24%,0.74,1.4,-0.4,3,3,7,1,45%,1.07,2.7,0.2,289.43
"EHMAN, GERRY",R,297,3.9,69,86,155,-83,55,62,117,14,24,38,0,0,0,240,63,278,18,2,10,175,250,58,67,125,32,187,264,0.71,0.68,-57,-77,-20,32%,0.68,1.2,0,17,29,46,12,38%,0.80,1.5,-0.3,0,0,0,0,10%,1.10,0.4,0.0,264.34
"GENDRON, JEAN-GUY",L,278,3.6,69,86,155,-10,51,49,100,17,37,54,1,0,1,233,84,162,2,1,16,148,144,54,51,105,29,155,150,1.04,0.78,-24,6,30,26%,0.85,0.9,0,20,44,64,18,54%,0.79,2.0,-0.5,2,2,3,1,1%,0.91,0.0,0.0,149.64
"ZOMBO, RICK",D,652,8.2,24,130,154,22,23,112,135,1,8,9,0,10,10,614,36,826,270,55,5,523,551,22,106,129,16,497,518,0.96,1.01,4,-21,-25,33%,1.00,2.7,0,1,6,7,1,6%,0.93,0.5,0.0,0,0,0,0,43%,0.92,3.5,-0.3,518.26
"GIRARDI, DAN",D,488,6.3,31,123,154,10,19,88,107,11,30,41,1,5,6,434,74,485,135,25,10,335,340,23,105,128,20,394,402,0.98,1.16,38,-8,-45,37%,1.09,2.4,0,11,35,46,7,24%,0.86,1.5,-0.2,2,2,3,0,53%,0.81,3.4,-0.7,401.51
"GOC, MARCEL",C,488,6.3,61,93,154,-11,50,88,138,9,5,14,2,0,2,239,30,312,94,12,2,197,216,59,104,163,26,236,264,0.90,0.93,-11,-28,-17,23%,0.95,1.4,0,14,7,21,3,11%,1.11,0.7,0.1,3,3,6,1,29%,1.10,1.8,0.2,264.18
"KOPECKY, TOMAS",C,465,6.1,62,92,154,-35,49,68,117,11,24,35,2,0,2,250,70,267,52,5,5,175,210,61,80,142,23,209,255,0.82,1.02,4,-46,-50,21%,0.98,1.3,0,17,34,51,8,23%,1.23,1.4,0.3,5,5,9,2,19%,1.32,1.1,0.3,255.32
"WARRINER, TODD",L,453,5.6,65,89,154,-37,50,71,121,10,18,28,5,0,5,233,50,284,64,9,8,174,212,56,80,136,24,195,239,0.82,0.89,-16,-44,-28,20%,0.88,1.1,0,10,18,28,5,16%,0.90,0.9,-0.1,5,5,10,2,18%,1.12,1.0,0.1,239.13
"BLAISDELL, MIKE",R,343,4.3,70,84,154,-25,65,76,141,5,8,13,0,0,0,255,25,258,3,0,5,230,250,51,59,111,26,181,198,0.91,0.85,-20,-17,4,24%,0.87,1.0,0,5,7,12,3,12%,0.67,0.5,-0.2,0,0,0,0,1%,1.18,0.0,0.0,197.81
"RAUTAKALLIO, PEKKA",D,235,2.9,33,121,154,13,24,80,104,9,41,50,0,0,0,369,96,277,17,2,13,271,247,19,64,83,28,217,196,1.10,1.00,-1,20,21,37%,1.03,1.1,0,8,38,47,16,46%,1.14,1.3,0.2,0,0,0,0,8%,0.96,0.2,0.0,196.48
"MITCHELL, WILLIE",D,719,8.8,29,124,153,106,28,105,133,0,11,11,1,8,9,541,19,684,265,39,2,483,417,32,121,152,17,556,480,1.16,0.99,-5,75,80,36%,1.04,3.1,0,0,12,12,1,4%,0.90,0.4,0.0,2,2,3,0,55%,0.86,4.8,-0.8,480.15
"LARAQUE, GEORGES",R,695,8.5,53,100,153,1,49,94,143,4,6,10,0,0,0,211,16,197,5,1,2,194,190,57,110,167,20,227,221,1.03,1.02,3,6,2,15%,1.04,1.3,0,4,6,10,1,3%,0.88,0.3,0.0,0,0,0,0,1%,1.05,0.1,0.0,221.18
"SEMENKO, DAVE",L,575,7.2,65,88,153,7,56,79,135,9,9,18,0,0,0,301,48,246,0,0,5,253,241,45,63,108,15,202,195,1.03,1.30,34,7,-27,14%,1.26,1.0,0,7,7,14,2,9%,1.08,0.6,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,195.22
"BROWN, ARNIE",D,484,6.3,40,113,153,-32,36,102,138,4,11,15,0,0,0,470,40,578,116,10,8,420,454,37,106,144,23,438,460,0.95,1.12,32,-22,-54,40%,1.08,2.5,0,4,14,18,3,14%,0.76,0.9,-0.2,0,0,0,0,42%,1.00,2.7,0.0,460.46
"KOTSOPOULOS, CHRIS",D,479,6.0,44,109,153,-61,32,69,101,12,36,48,0,4,4,539,100,705,205,22,17,417,483,26,55,81,14,337,389,0.87,0.77,-60,-52,8,32%,0.80,1.9,0,11,32,43,7,27%,0.86,1.6,-0.2,0,0,0,0,45%,1.10,2.7,0.2,389.15
"THOMSON, FLOYD",L,411,5.2,56,97,153,-24,54,92,146,1,3,4,1,2,3,241,10,283,28,5,1,226,254,49,84,133,26,206,232,0.89,0.97,-4,-26,-22,25%,0.95,1.3,0,1,3,5,1,5%,0.81,0.2,0.0,1,1,3,0,10%,1.02,0.5,0.0,232.41
"HARRISON, JIM",C,324,4.1,67,86,153,-31,49,74,123,15,12,27,3,0,3,235,46,264,44,6,6,183,214,48,72,120,29,178,203,0.88,1.05,6,-25,-32,27%,1.02,1.1,0,18,14,32,8,21%,1.03,0.9,0.0,4,4,7,2,17%,1.05,0.7,0.0,203.45
"CAJANEK, PETR",C,269,3.3,46,107,153,15,35,66,101,9,40,49,2,1,3,231,87,183,53,7,12,137,118,41,78,119,36,162,139,1.17,0.82,-20,23,43,26%,0.88,0.9,0,8,33,41,12,40%,0.88,1.3,-0.2,2,2,5,1,24%,1.04,0.8,0.0,139.34
"PACIORETTY, MAX",L,246,3.4,68,85,153,1,52,62,114,16,23,39,0,0,0,222,70,153,2,0,9,152,142,65,80,144,43,193,175,1.10,0.96,-5,17,22,31%,1.02,1.1,0,20,30,50,15,43%,0.97,1.5,0.0,0,0,0,0,1%,1.14,0.0,0.0,175.30
"BURT, ADAM",D,737,9.4,37,115,152,-52,27,89,116,9,24,33,1,2,3,622,89,771,186,23,14,510,571,29,95,124,13,549,608,0.90,0.93,-28,-59,-31,35%,0.92,3.3,0,10,24,35,4,17%,0.95,1.6,-0.1,1,1,2,0,30%,1.06,2.8,0.2,607.71
"CAMERON, CRAIG",R,551,7.1,87,65,152,-100,78,57,135,8,5,13,1,3,4,253,25,449,121,9,8,219,320,75,53,128,18,209,302,0.69,0.92,-14,-93,-79,23%,0.88,1.6,0,10,6,16,2,10%,0.56,0.7,-0.4,1,1,3,0,25%,1.27,1.8,0.4,301.67
"TALBOT, MAXIME",C,504,6.4,76,76,152,-20,60,70,130,1,4,5,15,2,17,217,5,402,169,25,1,187,232,70,82,153,24,222,272,0.82,1.13,20,-50,-69,21%,1.07,1.3,0,1,4,5,1,1%,1.05,0.1,0.0,19,19,38,6,42%,0.93,2.7,-0.2,271.58
"WILKINS, BARRY",D,417,5.3,27,125,152,-52,23,105,128,2,14,16,2,6,8,508,54,683,177,15,10,439,496,21,97,118,22,408,463,0.88,0.84,-50,-54,-5,42%,0.85,2.2,0,2,14,16,3,18%,0.92,0.9,-0.1,3,3,6,1,49%,1.32,2.6,0.7,462.60
"KHMYLEV, YURI",L,263,3.6,64,88,152,9,41,55,96,18,28,46,5,5,10,254,82,226,61,18,10,154,155,43,66,109,30,166,166,1.01,0.97,-3,1,4,29%,0.99,1.0,0,15,21,36,10,27%,1.11,1.0,0.1,5,5,10,3,31%,0.70,1.1,-0.4,165.59
"KING, KRIS",L,849,10.8,66,85,151,-52,64,82,146,0,1,1,2,2,4,295,3,404,59,8,1,284,344,65,81,147,14,294,362,0.81,0.98,-4,-68,-64,16%,0.96,1.7,0,0,1,1,0,0%,1.07,0.0,0.0,2,2,4,0,9%,1.10,0.9,0.1,361.91
"WARD, AARON",D,839,10.2,44,107,151,-40,41,93,134,2,7,9,1,7,8,498,23,754,237,36,3,439,514,48,108,156,15,508,593,0.86,1.07,24,-85,-109,31%,1.01,3.1,0,2,7,9,1,4%,0.94,0.4,0.0,1,1,3,0,37%,0.98,3.7,-0.1,593.17
"JACKMAN, BARRET",D,644,8.3,23,128,151,39,18,117,135,3,5,8,2,6,8,504,26,652,212,27,5,451,435,23,139,162,20,538,516,1.04,0.96,-16,22,37,36%,0.99,3.0,0,3,4,7,1,6%,0.81,0.5,-0.1,3,3,5,1,47%,0.90,3.9,-0.4,516.05
"HARRIS, TED",D,598,7.7,27,124,151,94,25,118,143,1,5,6,1,1,2,664,18,719,167,15,3,631,549,25,119,144,19,632,551,1.15,1.21,73,81,8,44%,1.19,3.4,1,1,6,7,1,5%,0.97,0.4,0.0,2,2,4,0,44%,1.06,3.4,0.2,550.54
"JOSEPH, CHRIS",D,510,6.5,39,112,151,-71,23,66,89,16,44,60,0,2,2,495,141,497,72,12,26,342,399,25,72,96,15,358,413,0.87,1.05,11,-55,-66,31%,1.01,2.0,0,16,40,56,9,36%,0.89,2.3,-0.3,0,0,0,0,15%,1.07,1.0,0.1,413.04
"MacMILLAN, BILL",R,446,5.7,74,77,151,2,61,65,126,10,10,20,3,2,5,263,27,284,50,11,3,225,231,57,60,118,21,210,215,0.98,1.10,14,-5,-18,24%,1.08,1.4,0,12,11,23,4,10%,0.89,0.6,-0.1,4,4,7,1,17%,0.77,1.0,-0.3,214.57
"FROLIK, MICHAEL",C,349,4.6,61,90,151,3,54,68,122,7,21,28,0,1,1,228,49,198,21,4,8,175,169,62,80,141,30,206,197,1.05,1.04,5,9,5,24%,1.05,1.1,0,8,23,30,7,23%,0.76,1.1,-0.3,0,0,0,0,15%,0.72,0.7,-0.2,196.58
"EKMAN, NILS",R,263,3.2,60,91,151,12,44,59,103,11,31,42,5,1,6,209,73,157,31,8,10,128,116,53,71,123,38,153,135,1.13,0.93,-7,17,25,24%,1.00,0.8,0,9,26,34,11,30%,0.95,1.0,0.0,6,6,13,4,15%,0.97,0.5,0.0,135.25
"SUTTON, ANDY",D,676,8.2,38,112,150,-20,21,92,113,13,17,30,4,3,7,454,51,607,184,24,8,379,415,24,107,130,16,439,481,0.91,0.86,-45,-42,4,30%,0.88,2.5,0,11,16,28,3,10%,0.84,0.9,-0.1,4,4,9,1,31%,1.08,2.6,0.2,480.51
"ROLFE, DALE",D,506,6.6,25,125,150,58,21,105,126,3,14,17,1,6,7,622,51,670,157,20,7,551,506,21,105,126,19,549,514,1.07,1.02,7,35,27,43%,1.03,2.8,0,4,18,22,3,17%,0.94,1.1,-0.1,1,1,3,0,46%,1.01,3.0,0.0,513.98
"BAKER, JAMIE",C,404,5.3,71,79,150,-50,47,59,106,16,17,33,8,3,11,253,57,378,131,18,11,178,236,51,61,112,21,186,250,0.74,0.73,-44,-64,-20,22%,0.74,1.1,0,12,12,25,5,17%,0.77,0.9,-0.2,8,8,16,3,35%,1.18,1.8,0.3,250.37
"GIORDANO, MARK",D,385,5.1,41,109,150,13,19,64,83,21,43,64,1,2,3,402,127,321,60,8,15,267,246,22,76,99,19,327,311,1.05,0.86,-32,16,49,34%,0.92,1.7,0,24,49,73,14,50%,1.02,2.6,0.1,3,3,7,1,28%,0.95,1.4,-0.1,311.26
"McDONALD, AB",L,245,3.2,70,80,150,15,49,60,109,20,20,40,1,0,1,247,80,159,6,1,13,166,140,53,65,119,37,180,152,1.19,1.06,7,29,22,32%,1.15,1.0,0,23,24,47,15,48%,0.94,1.6,-0.1,2,2,4,1,6%,0.99,0.2,0.0,151.71
"BRADLEY, MATT",R,675,8.2,59,90,149,-19,56,87,143,1,1,2,2,2,4,219,7,284,51,7,1,205,232,65,100,165,20,236,269,0.88,0.98,-3,-33,-30,16%,0.96,1.4,0,1,1,2,0,1%,1.03,0.1,0.0,3,3,6,1,8%,1.18,0.6,0.1,268.73
"WRIGHT, TYLER",C,613,7.5,79,70,149,-115,62,61,123,14,9,23,3,0,3,219,39,403,108,13,6,167,289,72,71,143,19,196,336,0.58,0.81,-37,-140,-103,20%,0.76,1.5,0,14,9,22,3,9%,0.89,0.7,-0.1,3,3,7,1,25%,1.05,1.9,0.1,336.27
"MICHALEK, ZBYNEK",D,584,7.4,34,115,149,-18,23,85,108,11,24,35,0,6,6,500,80,669,231,27,12,393,426,26,97,123,17,461,497,0.93,0.98,-6,-35,-29,36%,0.97,2.7,0,9,21,30,4,17%,0.88,1.3,-0.2,0,0,0,0,51%,0.98,3.8,-0.1,496.79
"BEREHOWSKY, DRAKE",D,549,6.9,37,112,149,-48,21,58,79,16,53,69,0,1,1,422,133,420,83,12,21,277,316,23,67,90,13,324,373,0.87,0.86,-35,-49,-14,28%,0.87,1.9,0,16,51,67,10,33%,0.89,2.3,-0.3,0,0,0,0,21%,1.03,1.4,0.0,373.22
"HORTON, TIM",D,463,6.0,24,125,149,81,16,90,106,7,28,35,1,7,8,616,80,605,150,22,11,514,444,17,93,110,18,524,454,1.15,1.04,13,70,57,46%,1.10,2.8,0,9,36,45,7,29%,0.96,1.8,-0.1,2,2,4,1,60%,0.85,3.6,-0.6,454.07
"YOUNG, WARREN",L,236,3.0,72,77,149,-68,51,57,108,21,20,41,0,0,0,238,81,226,1,0,20,157,205,41,46,86,29,126,165,0.76,0.69,-34,-39,-5,26%,0.73,0.8,0,15,15,30,10,40%,0.73,1.2,-0.4,0,0,0,0,0%,1.14,0.0,0.0,165.18
"SARICH, CORY",D,915,11.4,20,128,148,-17,19,112,131,0,4,4,1,12,13,524,11,762,231,37,2,476,529,22,130,152,13,554,623,0.89,0.95,-19,-68,-50,28%,0.94,3.2,0,0,4,4,0,2%,0.87,0.2,0.0,2,2,3,0,35%,0.97,3.9,-0.1,622.64
"BARRETT, FRED",D,745,9.4,25,123,148,-107,25,116,141,0,4,4,0,3,3,651,18,1016,276,24,4,609,736,21,101,122,13,528,638,0.83,0.87,-51,-110,-59,36%,0.87,3.4,0,0,4,4,0,4%,0.74,0.3,-0.1,0,0,0,0,48%,1.11,4.5,0.5,637.74
"McCARTHY, SANDY",R,736,9.3,72,76,148,-81,63,68,131,9,8,17,0,0,0,245,46,283,3,0,8,199,272,75,79,154,17,235,319,0.74,0.99,-2,-84,-82,16%,0.96,1.5,0,9,9,18,2,9%,0.92,0.9,-0.1,0,0,0,0,0%,1.14,0.0,0.0,319.14
"ROBERTSON, TORRIE",L,442,5.5,49,99,148,-50,42,86,128,7,13,20,0,0,0,223,34,239,0,0,5,189,234,34,70,103,19,153,190,0.81,0.92,-9,-37,-27,18%,0.90,1.0,0,5,10,15,3,8%,1.02,0.4,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,190.19
"PELTONEN, VILLE",L,382,4.7,52,96,148,-11,43,84,127,9,11,20,0,1,1,235,38,277,68,6,7,191,202,49,94,143,31,214,225,0.95,0.91,-13,-11,3,25%,0.92,1.2,0,10,12,22,5,17%,0.82,0.8,-0.2,0,0,0,0,21%,1.04,1.0,0.0,224.53
"COMEAU, BLAKE",R,361,4.8,67,81,148,-50,56,60,116,8,18,26,3,3,6,205,41,264,47,11,5,153,212,66,71,136,29,181,249,0.73,0.81,-29,-68,-39,24%,0.80,1.2,0,9,19,27,6,17%,0.91,0.8,-0.1,6,6,13,3,19%,0.95,0.9,0.0,248.92
"GREEN, TED",D,269,3.5,21,127,148,70,15,104,119,6,20,26,0,3,3,424,59,359,64,18,4,347,291,16,108,124,35,360,302,1.19,1.86,132,57,-74,45%,1.53,1.6,1,8,27,36,10,30%,1.32,1.1,0.3,0,0,0,0,35%,0.77,1.2,-0.3,302.21
"HALL, ADAM",R,602,7.7,65,82,147,-60,37,60,97,28,17,45,0,5,5,267,101,356,135,11,13,155,208,43,72,115,15,185,245,0.75,1.00,0,-60,-60,16%,0.96,1.2,0,22,14,36,5,18%,0.97,1.4,0.0,0,0,0,0,29%,1.07,2.2,0.2,245.20
"MARKOV, DANNY",D,538,6.6,29,118,147,47,18,81,99,11,31,42,0,6,6,438,93,447,150,18,14,327,283,21,95,117,18,384,334,1.15,1.15,33,50,17,31%,1.15,2.0,0,12,33,44,7,27%,0.89,1.8,-0.2,0,0,0,0,36%,1.03,2.3,0.1,334.33
"LATENDRESSE, GUILLAUME",R,341,4.4,87,60,147,-15,69,48,117,18,12,30,0,0,0,217,65,167,0,0,7,152,160,81,57,138,31,181,192,0.94,0.92,-10,-11,-1,24%,0.92,1.1,0,19,11,30,7,25%,1.08,1.1,0.1,0,0,0,0,0%,#DIV/0!,0.0,0.0,191.59
"FERGUSON, JOHN",L,240,3.2,79,68,147,61,68,59,127,11,9,20,0,0,0,233,41,132,1,0,2,192,129,72,63,135,43,205,137,1.50,1.28,28,68,40,29%,1.34,0.9,0,13,12,25,8,24%,1.23,0.8,0.2,0,0,0,0,1%,0.89,0.0,0.0,136.68
"MUNI, CRAIG",D,819,10.4,28,118,146,154,24,103,127,0,2,2,4,13,17,723,9,891,331,78,1,636,559,22,100,121,12,603,543,1.11,1.03,11,60,49,31%,1.05,3.2,0,0,2,2,0,1%,1.01,0.1,0.0,3,3,7,1,43%,0.83,4.5,-0.8,542.59
"CAMPOLI, CHRIS",D,440,5.4,35,111,146,-42,25,71,96,8,39,47,2,1,3,337,92,348,59,7,16,238,273,28,80,108,20,267,307,0.87,0.86,-28,-39,-12,30%,0.86,1.6,0,8,37,45,8,30%,0.85,1.6,-0.3,2,2,5,1,17%,0.99,0.9,0.0,306.56
"LAMB, MARK",C,403,5.3,46,100,146,-80,34,82,116,11,15,26,1,3,4,218,31,418,151,15,5,172,262,32,77,109,20,162,256,0.63,0.74,-41,-94,-53,21%,0.72,1.1,0,8,11,20,4,9%,0.82,0.5,-0.1,1,1,2,0,33%,1.27,1.7,0.4,256.19
"CARSON, LINDSAY",C,373,4.7,66,80,146,2,62,77,139,2,3,5,2,0,2,213,9,218,15,5,1,199,202,50,63,113,24,163,165,0.98,1.39,35,-3,-38,21%,1.32,1.0,0,2,2,4,1,3%,0.96,0.1,0.0,2,2,3,1,4%,0.75,0.2,-0.1,165.40
"PRUCHA, PETR",R,346,4.2,78,68,146,-4,47,46,93,31,22,53,0,0,0,224,89,141,3,0,9,135,129,54,53,106,25,153,146,1.05,1.11,10,7,-3,21%,1.09,0.9,0,26,19,45,11,32%,0.96,1.4,-0.1,0,0,0,0,1%,1.28,0.0,0.0,146.37
"ODGERS, JEFF",R,821,10.4,75,70,145,-116,60,61,121,15,9,24,0,0,0,239,45,315,5,1,9,193,301,66,67,133,13,212,327,0.65,0.77,-46,-115,-69,13%,0.76,1.4,0,12,7,19,2,7%,0.83,0.7,-0.1,0,0,0,0,1%,1.30,0.1,0.0,327.29
"NILL, JIM",R,524,6.6,58,87,145,-66,50,78,128,4,2,6,4,7,11,251,16,417,116,20,3,215,298,40,64,104,16,174,241,0.72,0.99,-1,-67,-66,17%,0.96,1.1,0,3,2,5,1,3%,1.02,0.2,0.0,4,4,8,1,25%,0.94,1.6,-0.1,240.95
"KLASSEN, RALPH",C,497,6.2,52,93,145,-132,37,75,112,10,9,19,5,9,14,247,36,526,182,24,5,187,339,32,64,96,15,160,290,0.55,0.86,-23,-130,-108,20%,0.79,1.2,0,10,8,18,3,9%,0.96,0.6,0.0,7,7,14,2,52%,0.97,3.2,-0.1,289.94
"HUFFMAN, KERRY",D,401,5.2,37,108,145,-70,19,51,70,17,56,73,1,1,2,420,151,403,64,9,27,260,312,18,50,68,13,259,323,0.80,0.87,-27,-65,-38,31%,0.86,1.6,0,14,43,57,11,43%,0.83,2.3,-0.4,1,1,2,0,17%,1.14,0.9,0.1,323.39
"LUPUL, GARY",C,293,3.7,70,75,145,-45,55,61,116,14,13,27,1,1,2,206,42,250,41,4,7,160,202,43,48,92,25,127,160,0.79,0.88,-12,-33,-22,22%,0.87,0.8,0,11,10,21,6,15%,0.96,0.5,0.0,1,1,2,1,15%,1.14,0.6,0.1,160.30
"HAGMAN, MATTI",C,237,3.0,56,89,145,24,45,66,111,11,23,34,0,0,0,211,54,135,2,0,6,157,127,36,53,89,30,126,102,1.23,1.27,18,23,5,19%,1.26,0.6,0,10,19,29,10,26%,1.06,0.8,0.0,0,0,0,0,1%,0.87,0.0,0.0,102.43
"HALL, TAYLOR",L,171,2.5,65,80,145,-7,40,59,99,25,21,46,0,0,0,188,64,133,2,0,6,124,125,52,82,135,54,163,161,1.01,0.73,-33,2,35,37%,0.82,0.9,0,34,33,67,27,59%,1.11,1.5,0.2,0,0,0,0,2%,0.94,0.1,0.0,160.56
"CALLIGHEN, BRETT",L,160,2.0,56,89,145,28,39,72,111,17,17,34,0,0,0,244,68,157,9,1,5,175,143,32,58,90,45,141,116,1.22,1.02,1,25,24,33%,1.06,0.7,0,15,15,30,15,49%,1.04,1.0,0.0,0,0,0,0,6%,0.99,0.1,0.0,116.10
"BOYNTON, NICK",D,605,7.4,34,110,144,19,26,95,121,4,14,18,4,1,5,455,39,554,159,22,8,394,387,31,111,141,19,459,450,1.02,1.06,18,9,-9,33%,1.06,2.4,0,4,16,20,3,11%,0.86,0.8,-0.1,5,5,10,1,34%,1.00,2.5,0.0,450.08
"SUNDSTROM, PETER",L,338,4.2,61,83,144,-22,56,82,138,0,1,1,5,0,5,213,3,296,64,9,0,201,232,46,67,113,27,165,189,0.87,1.01,1,-25,-26,24%,0.99,1.0,0,0,1,1,0,1%,1.16,0.0,0.0,4,4,9,2,22%,0.94,0.9,-0.1,189.49
